"","."
"1","SCN5A"
"2","MASP1"
"3","ADGRA3"
"4","FAT4"
"5","DNAH5"
"6","PDZD2"
"7","SYNE1"
"8","ABCA13"
"9","SETX"
"10","CUBN"
"11","PDCD11"
"12","NAV2"
"13","ADAMTSL4"
"14","LRP5"
"15","HEPHL1"
"16","PCK2"
"17","RYR3"
"18","DUOX2"
"19","ZNF592"
"20","PPL"
"21","DNAH3"
"22","MYH4"
"23","HMCN1"
"24","FASN"
"25","NAV1"
"26","OBSCN"
"27","SBF1"
"28","LYST"
"29","IFT172"
"30","HSPG2"
"31","TTN"
"32","COL6A3"
"33","SCN10A"
"34","STAB1"
"35","CSMD2"
"36","DGKG"
"37","DCHS2"
"38","APC"
"39","FBN2"
"40","DNAH8"
"41","CUL9"
"42","DST"
"43","MDN1"
"44","RARS2"
"45","MROH7-TTC4"
"46","MYOM2"
"47","MCPH1"
"48","SULF1"
"49","PLEC"
"50","FOCAD"
"51","AGL"
"52","LAMC3"
"53","OGDHL"
"54","NRAP"
"55","PHRF1"
"56","ANO5"
"57","MADD"
"58","PDE4DIP"
"59","AHNAK"
"60","CHD1L"
"61","NUMA1"
"62","ATM"
"63","A2ML1"
"64","KMT2D"
"65","HAL"
"66","POLE"
"67","ATP12A"
"68","SYNE2"
"69","AHNAK2"
"70","ATP10A"
"71","TYRO3"
"72","HERC1"
"73","ITGA11"
"74","ALPK3"
"75","FANCI"
"76","ACAN"
"77","CORO7"
"78","MYH11"
"79","SLC12A3"
"80","ATP2C2"
"81","USP36"
"82","RNF213"
"83","LAMA1"
"84","LAMA3"
"85","CACNA1S"
"86","USH2A"
"87","PEG3"
"88","RRBP1"
"89","UBR4"
"90","HEATR1"
"91","FLNA"
"92","NEB"
"93","XIRP1"
"94","PLCD1"
"95","FYCO1"
"96","DNAH1"
"97","FRAS1"
"98","SZT2"
"99","BCLAF1"
"100","KMT2C"
"101","ANK1"
"102","TNC"
"103","CDK5RAP2"
"104","CELSR2"
"105","INSC"
"106","SLC6A13"
"107","B4GALNT3"
"108","FLG"
"109","IRAK3"
"110","PHKB"
"111","MED13"
"112","ASXL3"
"113","ALPK2"
"114","MSH6"
"115","TNS1"
